Title,Latitude,Longitude,categories,Info Title,Title Place,hashes,score,userScore,heart,title,category,address,roadAddress,mapx,mapy
다모아산채,37.529981,126.922238," 백반, 산채정식",다모아산채,여의도 ,"회식장소,푸짐한, 좌식테이블",31,3.0,2,<b>다모아산채</b>,음식점>한식,서울특별시 영등포구 여의도동 13-5 오성빌딩 지하1층,서울특별시 영등포구 국회대로76길 18 오성빌딩,1269222383,375299814
정가네,37.521468,126.930695," 부대찌개, 김치찌개",정가네,여의도 ,"데이트,",31,0.0,1,<b>정가네</b>,음식점>한식,서울특별시 영등포구 영등포동3가 1-4,서울특별시 영등포구 경인로 887,1269109582,375181467
미소야 여의도아이비점,37.5208,126.931123," 돈가스, 도미",미소야 여의도아이비점,여의도 ,"혼밥,다양한메뉴, 점심식사",31,2.0,0,<b>미소야 여의도아이비점</b>,일식>돈가스,서울특별시 영등포구 여의도동 43-4 롯데캐슬아이비상가 지하1층 123호,서울특별시 영등포구 국제금융로 86 롯데캐슬아이비상가 지하1층 123호,1269321087,375197969
이가숯불갈비,37.512167,126.914963," 고깃집, 숯불갈비",이가숯불갈비,신길동 ,"회식장소,참숯, 점심식사",31,0.0,0,<b>이가</b>생고기참<b>숯불갈비</b>,"한식>육류,고기요리",서울특별시 영등포구 신길동 194-30 신길동 194-30,서울특별시 영등포구 도신로53길 13 신길동 194-30,1269149630,375121669
목포식당,37.52231,126.904566," 홍어삼합, 낙지볶음",목포식당,영등포시장역 ,"식사모임,서민적인",47,4.7,7,<b>목포식당</b>,"한식>해물,생선요리",서울특별시 영등포구 영등포동6가 15-6,서울특별시 영등포구 영중로 65-4 오케이빌딩,1269045664,375223103
원효숯불갈비,37.525226,126.905187," 돼지갈비, 숯불갈비",원효숯불갈비,영등포 ,"회식,서민적인, 점심식사, 저녁식사, 연탄불",36,3.5,3,<b>원효숯불갈비</b>,"한식>육류,고기요리",서울특별시 영등포구 영등포동7가 65-7 삼정빌딩 1층,서울특별시 영등포구 영중로 99 삼정빌딩 1층,1269051866,375252263
등포,37.526109,126.897198," 고깃집, 생갈비",등포,영등포구청 ,"회식장소,고급스러운, 칸막이",34,0.0,3,<b>등포</b>,"한식>육류,고기요리",서울특별시 영등포구 당산동3가 239-1 등포,서울특별시 영등포구 국회대로34길 16 등포,1268971981,375261088
새벽집 선유도점,37.536365,126.895349," 두부, 숨두부",새벽집 선유도점,선유도 ,"회식장소,서민적인",34,3.4,2,<b>새벽집 선유도점</b>,한식>두부요리,서울특별시 영등포구 양평동4가 80,서울특별시 영등포구 선유로49길 23,1268953490,375363648
장수집,37.529906,126.919953," 김치찌개, 김치전골",장수집,여의도 ,"회식,노포",33,0.0,1,<b>장수집</b>,"한식>족발,보쌈",서울특별시 영등포구 여의도동 14-2,서울특별시 영등포구 국회대로70길 7,1269199531,375299057
솔,37.519573,126.92905," 김치찌개, 백반",솔,여의도 ,"식객허영만의백반기행, 회식,노포, 예약필수",33,0.0,1,<b>솔</b>,"한식>찌개,전골",서울특별시 영등포구 여의도동 45-20 동북빌딩,서울특별시 영등포구 국제금융로8길 27-9 동북빌딩,1269290499,375195728
